"filename", "language", "C++", "C", "Shell Script", "Docker", "Properties", "YAML", "comment", "blank", "total"
"/home/alex/AI_FUZZ/msmtp/Dockerfile", "Docker", 0, 0, 0, 91, 0, 0, 24, 14, 129
"/home/alex/AI_FUZZ/msmtp/auth_fuzzer.c", "C", 0, 103, 0, 0, 0, 0, 23, 24, 150
"/home/alex/AI_FUZZ/msmtp/docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 15, 0, 2, 17
"/home/alex/AI_FUZZ/msmtp/generate_testcases.sh", "Shell Script", 0, 0, 30, 0, 0, 0, 37, 31, 98
"/home/alex/AI_FUZZ/msmtp/msmtp_fuzzer.c", "C", 0, 95, 0, 0, 0, 0, 20, 21, 136
"/home/alex/AI_FUZZ/msmtp/msmtpd_fuzzer.c", "C", 0, 75, 0, 0, 0, 0, 18, 19, 112
"/home/alex/AI_FUZZ/msmtp/scripts/find_alias/find_alias_for_msmtp.sh", "Shell Script", 0, 0, 34, 0, 0, 0, 17, 13, 64
"/home/alex/AI_FUZZ/msmtp/scripts/msmtpqueue/msmtp-enqueue.sh", "Shell Script", 0, 0, 20, 0, 0, 0, 16, 9, 45
"/home/alex/AI_FUZZ/msmtp/scripts/msmtpqueue/msmtp-listqueue.sh", "Shell Script", 0, 0, 5, 0, 0, 0, 1, 3, 9
"/home/alex/AI_FUZZ/msmtp/scripts/msmtpqueue/msmtp-runqueue.sh", "Shell Script", 0, 0, 51, 0, 0, 0, 8, 11, 70
"/home/alex/AI_FUZZ/msmtp/scripts/set_sendmail/set_sendmail.conf", "Properties", 0, 0, 0, 0, 21, 0, 40, 14, 75
"/home/alex/AI_FUZZ/msmtp/scripts/set_sendmail/set_sendmail.sh", "Shell Script", 0, 0, 121, 0, 0, 0, 32, 33, 186
"/home/alex/AI_FUZZ/msmtp/src/aliases.c", "C", 0, 224, 0, 0, 0, 0, 33, 48, 305
"/home/alex/AI_FUZZ/msmtp/src/aliases.h", "C++", 10, 0, 0, 0, 0, 0, 35, 6, 51
"/home/alex/AI_FUZZ/msmtp/src/base64.c", "C", 0, 399, 0, 0, 0, 0, 147, 60, 606
"/home/alex/AI_FUZZ/msmtp/src/base64.h", "C++", 32, 0, 0, 0, 0, 0, 20, 17, 69
"/home/alex/AI_FUZZ/msmtp/src/conf.c", "C", 0, 1939, 0, 0, 0, 0, 178, 114, 2231
"/home/alex/AI_FUZZ/msmtp/src/conf.h", "C++", 121, 0, 0, 0, 0, 0, 170, 27, 318
"/home/alex/AI_FUZZ/msmtp/src/eval.c", "C", 0, 60, 0, 0, 0, 0, 26, 13, 99
"/home/alex/AI_FUZZ/msmtp/src/eval.h", "C++", 4, 0, 0, 0, 0, 0, 27, 4, 35
"/home/alex/AI_FUZZ/msmtp/src/gettext.h", "C++", 218, 0, 0, 0, 0, 0, 58, 26, 302
"/home/alex/AI_FUZZ/msmtp/src/list.c", "C", 0, 75, 0, 0, 0, 0, 45, 34, 154
"/home/alex/AI_FUZZ/msmtp/src/list.h", "C++", 16, 0, 0, 0, 0, 0, 59, 16, 91
"/home/alex/AI_FUZZ/msmtp/src/md5-apps.c", "C", 0, 57, 0, 0, 0, 0, 22, 15, 94
"/home/alex/AI_FUZZ/msmtp/src/md5-apps.h", "C++", 8, 0, 0, 0, 0, 0, 34, 6, 48
"/home/alex/AI_FUZZ/msmtp/src/md5.c", "C", 0, 182, 0, 0, 0, 0, 69, 41, 292
"/home/alex/AI_FUZZ/msmtp/src/md5.h", "C++", 21, 0, 0, 0, 0, 0, 27, 7, 55
"/home/alex/AI_FUZZ/msmtp/src/msgid.c", "C", 0, 60, 0, 0, 0, 0, 27, 9, 96
"/home/alex/AI_FUZZ/msmtp/src/msgid.h", "C++", 4, 0, 0, 0, 0, 0, 31, 4, 39
"/home/alex/AI_FUZZ/msmtp/src/msmtp.c", "C", 0, 3793, 0, 0, 0, 0, 361, 266, 4420
"/home/alex/AI_FUZZ/msmtp/src/msmtpd.c", "C", 0, 804, 0, 0, 0, 0, 82, 48, 934
"/home/alex/AI_FUZZ/msmtp/src/mtls-gnutls.c", "C", 0, 595, 0, 0, 0, 0, 98, 60, 753
"/home/alex/AI_FUZZ/msmtp/src/mtls-libtls.c", "C", 0, 419, 0, 0, 0, 0, 81, 74, 574
"/home/alex/AI_FUZZ/msmtp/src/mtls-openssl.c", "C", 0, 769, 0, 0, 0, 0, 163, 91, 1023
"/home/alex/AI_FUZZ/msmtp/src/mtls.c", "C", 0, 148, 0, 0, 0, 0, 55, 34, 237
"/home/alex/AI_FUZZ/msmtp/src/mtls.h", "C++", 63, 0, 0, 0, 0, 0, 165, 29, 257
"/home/alex/AI_FUZZ/msmtp/src/net.c", "C", 0, 955, 0, 0, 0, 0, 131, 118, 1204
"/home/alex/AI_FUZZ/msmtp/src/net.h", "C++", 32, 0, 0, 0, 0, 0, 122, 17, 171
"/home/alex/AI_FUZZ/msmtp/src/netrc.c", "C", 0, 296, 0, 0, 0, 0, 57, 72, 425
"/home/alex/AI_FUZZ/msmtp/src/netrc.h", "C++", 29, 0, 0, 0, 0, 0, 15, 12, 56
"/home/alex/AI_FUZZ/msmtp/src/password.c", "C", 0, 178, 0, 0, 0, 0, 32, 16, 226
"/home/alex/AI_FUZZ/msmtp/src/password.h", "C++", 11, 0, 0, 0, 0, 0, 32, 5, 48
"/home/alex/AI_FUZZ/msmtp/src/readbuf.c", "C", 0, 13, 0, 0, 0, 0, 31, 10, 54
"/home/alex/AI_FUZZ/msmtp/src/readbuf.h", "C++", 11, 0, 0, 0, 0, 0, 31, 6, 48
"/home/alex/AI_FUZZ/msmtp/src/smtp.c", "C", 0, 1781, 0, 0, 0, 0, 310, 166, 2257
"/home/alex/AI_FUZZ/msmtp/src/smtp.h", "C++", 120, 0, 0, 0, 0, 0, 255, 35, 410
"/home/alex/AI_FUZZ/msmtp/src/stream.c", "C", 0, 40, 0, 0, 0, 0, 26, 10, 76
"/home/alex/AI_FUZZ/msmtp/src/stream.h", "C++", 7, 0, 0, 0, 0, 0, 37, 7, 51
"/home/alex/AI_FUZZ/msmtp/src/tools.c", "C", 0, 694, 0, 0, 0, 0, 165, 121, 980
"/home/alex/AI_FUZZ/msmtp/src/tools.h", "C++", 68, 0, 0, 0, 0, 0, 173, 30, 271
"/home/alex/AI_FUZZ/msmtp/src/xalloc.c", "C", 0, 93, 0, 0, 0, 0, 43, 25, 161
"/home/alex/AI_FUZZ/msmtp/src/xalloc.h", "C++", 14, 0, 0, 0, 0, 0, 26, 7, 47
"/home/alex/AI_FUZZ/msmtp/tests/test-auth-plain.sh", "Shell Script", 0, 0, 14, 0, 0, 0, 4, 6, 24
"/home/alex/AI_FUZZ/msmtp/tests/test-basic.sh", "Shell Script", 0, 0, 3, 0, 0, 0, 2, 3, 8
"/home/alex/AI_FUZZ/msmtp/tests/test-header-handling.sh", "Shell Script", 0, 0, 69, 0, 0, 0, 10, 11, 90
"Total", "-", 789, 13847, 347, 91, 21, 15, 3751, 1920, 20781
